Starting training...

Epoch 1/700
[15/21] Loss: 3.4815 | Step: 0.04s | ETA: 0s | 71.4%
[16/21] Loss: 3.5403 | Step: 0.04s | ETA: 0s | 76.2%
[17/21] Loss: 3.5493 | Step: 0.04s | ETA: 0s | 81.0%
[18/21] Loss: 3.4171 | Step: 0.04s | ETA: 0s | 85.7%
[19/21] Loss: 3.3932 | Step: 0.04s | ETA: 0s | 90.5%
[20/21] Loss: 3.3220 | Step: 0.04s | ETA: 0s | 95.2%
[21/21] Loss: 3.4321 | Step: 0.03s | ETA: 0s | 100.0%
Epoch 14 completed in 2.1s - Avg loss: 3.4537

Epoch 15/700
[1/21] Loss: 3.5010 | Step: 0.04s | ETA: 1s | 4.8%
[2/21] Loss: 3.4899 | Step: 0.04s | ETA: 1s | 9.5%
[3/21] Loss: 3.5113 | Step: 0.04s | ETA: 1s | 14.3%
[4/21] Loss: 3.3069 | Step: 0.04s | ETA: 1s | 19.0%
[5/21] Loss: 3.2770 | Step: 0.04s | ETA: 1s | 23.8%
[6/21] Loss: 3.3994 | Step: 0.04s | ETA: 1s | 28.6%
[7/21] Loss: 3.4185 | Step: 0.04s | ETA: 1s | 33.3%
[8/21] Loss: 3.7285 | Step: 0.04s | ETA: 1s | 38.1%
[9/21] Loss: 3.4480 | Step: 0.04s | ETA: 1s | 42.9%
[10/21] Loss: 3.5894 | Step: 0.04s | ETA: 0s | 47.6%
[11/21] Loss: 3.3264 | Step: 0.04s | ETA: 0s | 52.4%
[12/21] Loss: 3.5482 | Step: 0.04s | ETA: 0s | 57.1%
[13/21] Loss: 3.5371 | Step: 0.04s | ETA: 0s | 61.9%
[14/21] Loss: 3.6807 | Step: 0.04s | ETA: 0s | 66.7%
[15/21] Loss: 3.4519 | Step: 0.04s | ETA: 0s | 71.4%
[16/21] Loss: 3.3546 | Step: 0.04s | ETA: 0s | 76.2%
[17/21] Loss: 3.3930 | Step: 0.04s | ETA: 0s | 81.0%
[18/21] Loss: 3.5896 | Step: 0.04s | ETA: 0s | 85.7%
[19/21] Loss: 3.3534 | Step: 0.04s | ETA: 0s | 90.5%
[20/21] Loss: 3.2902 | Step: 0.05s | ETA: 0s | 95.2%
[21/21] Loss: 3.5069 | Step: 0.04s | ETA: 0s | 100.0%
Epoch 15 completed in 2.2s - Avg loss: 3.4620

Epoch 16/700
[1/21] Loss: 3.5407 | Step: 0.04s | ETA: 1s | 4.8%
[2/21] Loss: 3.1988 | Step: 0.04s | ETA: 1s | 9.5%
[3/21] Loss: 3.4750 | Step: 0.05s | ETA: 1s | 14.3%
[4/21] Loss: 3.6091 | Step: 0.05s | ETA: 1s | 19.0%
[5/21] Loss: 3.4113 | Step: 0.05s | ETA: 1s | 23.8%
[6/21] Loss: 3.1858 | Step: 0.04s | ETA: 1s | 28.6%
[7/21] Loss: 3.5028 | Step: 0.04s | ETA: 1s | 33.3%
[8/21] Loss: 3.4455 | Step: 0.04s | ETA: 1s | 38.1%
[9/21] Loss: 3.3533 | Step: 0.05s | ETA: 1s | 42.9%
[10/21] Loss: 3.6215 | Step: 0.04s | ETA: 0s | 47.6%
[11/21] Loss: 3.7211 | Step: 0.04s | ETA: 0s | 52.4%
[12/21] Loss: 3.3397 | Step: 0.05s | ETA: 0s | 57.1%
[13/21] Loss: 3.3618 | Step: 0.04s | ETA: 0s | 61.9%
[14/21] Loss: 3.3668 | Step: 0.05s | ETA: 0s | 66.7%
[15/21] Loss: 3.3035 | Step: 0.05s | ETA: 0s | 71.4%
[16/21] Loss: 3.3194 | Step: 0.05s | ETA: 0s | 76.2%
[17/21] Loss: 3.5509 | Step: 0.05s | ETA: 0s | 81.0%
[18/21] Loss: 3.4057 | Step: 0.05s | ETA: 0s | 85.7%
[19/21] Loss: 3.4671 | Step: 0.05s | ETA: 0s | 90.5%
[20/21] Loss: 3.3393 | Step: 0.05s | ETA: 0s | 95.2%
[21/21] Loss: 3.4026 | Step: 0.04s | ETA: 0s | 100.0%
Epoch 16 completed in 2.3s - Avg loss: 3.4249

Epoch 17/700
[1/21] Loss: 3.4202 | Step: 0.04s | ETA: 1s | 4.8%
[2/21] Loss: 3.4335 | Step: 0.05s | ETA: 1s | 9.5%
[3/21] Loss: 3.5117 | Step: 0.05s | ETA: 1s | 14.3%
